,,,,19-Jun,,,20-Jun,,,21-Jun,,,22-Jun,,,23-Jun,,,24-Jun,,,25-Jun,,,26-Jun,,,27-Jun,,,28-Jun,,,,29-Jun,,,30-Jun,,,1-Jul,,,2-Jul,,,3-Jul,,,4-Jul,,,5-Jul,,,6-Jul,,,7-Jul,,,8-Jul,,,9-Jul,,,10-Jul,,,11-Jul,,,12-Jul,,,13-Jul,,,14-Jul,,,15-Jul,,,16-Jul,,,17-Jul,,,18-Jul,,,19-Jul,,,20-Jul,,,21-Jul,,,22-Jul,,,23-Jul,,,24-Jul,,,25-Jul,,,26-Jul,,,27-Jul,,,28-Jul,,,29-Jul,,,30-Jul,,,31-Jul,
Item Description,Current Stock,BO,In,Out,Bal,In,Out,Bal,In,Out,Bal,In,Out,Bal,In,Out,Bal,In,Out,Bal,In,Out,Bal,In,Out,Bal,In,Out,Bal,In,Out,Bal,,In,Out,Bal,In,Out,Bal,In,Out,Bal,In,Out,Bal,In,Out,Bal,In,Out,Bal,In,Out,Bal,In,Out,Bal,In,Out,Bal,In,Out,Bal,In,Out,Bal,In,Out,Bal,In,Out,Bal,In,Out,Bal,In,Out,Bal,In,Out,Bal,In,Out,Bal,In,Out,Bal,In,Out,Bal,In,Out,Bal,In,Out,Bal,In,Out,Bal,In,Out,Bal,In,Out,Bal,In,Out,Bal,In,Out,Bal,In,Out,Bal,In,Out,Bal,In,Out,Bal,In,Out,Bal,In,Out,Bal,In,Out,Bal,In,Out,Bal
RC Cola Mega,144,0,80,0,80,,,80,,,80,,32,48,,2,46,100,1,145,,,145,,1,144,,,144,,,144,144,,,144,,,144,,,144,,,144,,,144,,,144,,,144,,,144,,,144,,,144,,,144,,,144,,,144,,,144,,,144,,,144,,,144,,,144,,,144,,,144,,,144,,,144,,,144,,,144,,,144,,,144,,,144,,,144,,,144,,,144,,,144,,,144,,,144
Lemon Mega,59,0,20,0,20,,,20,,,20,,7,13,,3,10,50,1,59,,,59,,,59,,,59,,,59,59,,,59,,,59,,,59,,,59,,,59,,,59,,,59,,,59,,,59,,,59,,,59,,,59,,,59,,,59,,,59,,,59,,,59,,,59,,,59,,,59,,,59,,,59,,,59,,,59,,,59,,,59,,,59,,,59,,,59,,,59,,,59,,,59,,,59
Orange Mega,44,0,20,1,19,,,19,,,19,,4,15,,0,15,30,1,44,,,44,,,44,,,44,,,44,44,,,44,,,44,,,44,,,44,,,44,,,44,,,44,,,44,,,44,,,44,,,44,,,44,,,44,,,44,,,44,,,44,,,44,,,44,,,44,,,44,,,44,,,44,,,44,,,44,,,44,,,44,,,44,,,44,,,44,,,44,,,44,,,44,,,44
RC Cola 240mL,3,0,16,,16,,,16,,,16,,1,15,,7,8,0,4,4,,,4,,1,3,,,3,,,3,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3
Lemon 240mL,70,1,24,,23,,,23,,,23,,3,20,,4,16,0,7,9,,,9,,2,7,,,7,,,7,7,64,,71,,,71,,,71,,,71,,,71,,1,70,,,70,,,70,,,70,,,70,,,70,,,70,,,70,,,70,,,70,,,70,,,70,,,70,,,70,,,70,,,70,,,70,,,70,,,70,,,70,,,70,,,70,,,70,,,70,,,70,,,70,,,70,,,70
Orange 240mL,13,0,20,,20,,,20,,,20,,1,19,,2,17,0,5,12,,,12,,1,11,,,11,,,11,11,4,,15,,,15,,,15,,,15,,,15,,2,13,,,13,,,13,,,13,,,13,,,13,,,13,,,13,,,13,,,13,,,13,,,13,,,13,,,13,,,13,,,13,,,13,,,13,,,13,,,13,,,13,,,13,,,13,,,13,,,13,,,13,,,13,,,13
Seetrus 240mL,0,0,0,,0,,,0,,,0,,,0,,,0,0,0,0,,,0,,,0,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
RC Cola Litro,0,0,11,,11,,,11,,,11,,5,6,,5,1,0,0,1,,,1,,,1,,,1,,,1,0,,,1,,,1,,1,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Lemon Litro,31,0,26,,26,,,26,,,26,,3,23,,4,19,0,2,17,,,17,,5,12,,11,1,,1,0,2.5,36,,36,,,36,,,36,,,36,,,36,,5,31,,,31,,,31,,,31,,,31,,,31,,,31,,,31,,,31,,,31,,,31,,,31,,,31,,,31,,,31,,,31,,,31,,,31,,,31,,,31,,,31,,,31,,,31,,,31,,,31,,,31,,,31,,,31
